Company Name,Membership No,Membership Type,Establishment,Logo URL,Short Profile,Address,Area,Postcode,Phone,Email,Company Website,Legal Structure,Valid Till,Services
Carrot Comm Limited,21-11-058,Affiliate,December 2009,https://basis.org.bd/images/logo/300d026fb997f6a505589056500b32b207122021122812.png,An integrated communication agency,"House 8, Road 23/C, Gulshan 1, Dhaka",Gulshan,1212,029848560,info@carrotcomm.com,http://www.carrotcomm.com,Limited Company,,Digital Marketing
Wire,22-05-026,Affiliate,September 2020,https://basis.org.bd/images/logo/d6f261739dd625e105c6192a6b7ce99129082022083823.jpg,Wire is a complete Marketing solutions agency that excels in taking brand images and promoting brand products over ordinary standards. Wire provides the following services: (1) Social Media Marketing (2) Search Engine Marketing (3) Pay Per Click Marketing (4) E-Mail Marketing (5) Search Engine Optimization (6) Web Development (7) Offline Marketing Campaign and Materials Designing. (8) Research-Based Marketing Consultancy. (9) Activation  (10) OVC/TVC creation,"Flat#A-1, House#40, Road#5, Block-G, Banani",,1213,01670595531,sabbir.wire@gmail.com,http://www.wiredmm.com,Partnership,,Digital Marketing
DAINIK SARABANGLA,23-09-016,Affiliate,December 2017,https://basis.org.bd/images/logo/033a985d5e35729568555a2b34c23b3718102023103639.png,Dainik Sarabangla is a partner with a highly regarded development agency that has been around for a while and has created a tried and true process for making all its clients successful.,"UCEP Cheyne Tower (Ground Floor), 25, Segun Bagicha Road, Dhaka 1000",Motijheel,1000,01766688112,gen.manager@sarabangla.net,https://sarabangla.net/services/,Proprietorship,,Digital Marketing
BizMappers Ltd.,24-06-042,Affiliate,December 2023,https://basis.org.bd/images/logo/17e80f42cfaef7ab5fabf868f167a40414062024065002.png,"BizMappers Ltd. is founded by 7 young and highly skilled professionals with 10 to 15 years of experience in diversified fields of IT enabled services, web development, digital marketing, commercial ad production, and brand development. Since its inception, the company focused on ROI based marketing that helped to grow 350+ e-commerce, f-commerce and corporate businesses in the last 3 years of our operation. “Automated Online Sales through Facebook Marketing” is the highly creative IT enabled business idea & execution expertise that keeps BizMappers Ltd. unique and unparalleled within thousands of digital marketing agencies. Our vision is to become the leading IT based business consultancy company in Bangladesh as well in the world.","House No. 549 (5th Floor), Road No. 10, Adabor",Mohammadpur,1207,8801779689831,contact@bizmappers.com,http://www.bizmappers.com,Limited Company,,"Consultancy, IT, Digital Marketing, Web Development, Branding, Creative Production"
M/S Intelzaa,24-06-053,Affiliate,July 2021,https://basis.org.bd/images/logo/bdf76750418c56f4828ea71435b5993311062024061344.JPG,"About: We put spotlight on your brand. We at Intelzaa have a diverse and a passionate team with a wealth of experience in partnering with well reputed as well as up-and-coming brands from a diverse portfolio of industries including Hospitality, Education, Construction, Lifestyle, Insurance Tech industry, Innovative transportation services. We take a unique view to each industry and develop E-Marketing strategies, keeping in mind the vision of the respective organization.  Our Footprint: We are a global enterprise based in the UK and services center in Bangladesh, while serving our honorable and elite clientele hailing from the UK, USA, Malaysia, Canada, and Bangladesh. We have a trained and dedicated team of analyst and specialists based both in the UK and Bangladesh, always prepared and motivated to serve our valued clients. Our teams are made out of a vibrant mixture of individuals working within an ethical work environment that harness the individual and collaborative brilliance of our teams.  What We Offer? We take a holistic approach to serving our distinguished clients, by providing end-to-end backend services of 360 Digital Branding, Content Design, Media Buying, Animation and Page Moderation. Furthermore we also provide targeted Business Leads and Email Marketing. As a result, what we really offer is the ultimate luxury of corporate satisfaction and ease of organic promotion/marketing to targeted segments. We provide 100% statics reporting of all sorts of organic reach, impression counts, share etc. Satisfying our partners with 100% track & analyzing data with the purpose of future decision, is our core objective.",9th floor BGMEA Bhaban,Chattogram,4001,01767696723,skm.uzair@gmail.com,http://www.intelzaa.com,Partnership,,Digital Marketing
iEatery Limited,24-10-082,Affiliate,January 2022,https://basis.org.bd/images/logo/e728607c9616516692b11ea7a67e67da16102024105010.png,"iEatery Limited began as a small digital marketing agency in Dhaka, focused on delivering high-quality social media marketing, SEO, web development, and graphic design services. Through a commitment to excellence and strong client relationships, the company quickly expanded its service offerings to include photo and videography. By targeting diverse industries and leveraging a results-driven approach, iEatery Limited helped numerous clients grow their online presence. Today, the company stands as a trusted partner in digital marketing, achieving consistent success in the highly competitive market of Dhaka.","House 13, Gausul Azam Avenue, Sector 14, Uttara",Uttara,1230,01636333999,info@ieatery.com.bd,https://ieatery.com.bd/,Limited Company,,Digital Marketing
Softend Station,25-01-963,Affiliate,August 2024,https://basis.org.bd/images/logo/a17a5e3bd27eda2dcfd634a32ed3e24430012025011739.jpg,"Ecommerce, Saas, Web Application, Mobile Application, Digital Marketing, IT Solution, UI/UX, Branding & Motion Design, WordPress Development","116/2, Noyapaltan (2nd Floor), Box Culvert Road, Dhaka-1000",Motijheel,1000,01770012232,softendstation@gmail.com,https://softendstation.com/,Partnership,,"UI/UX Services, Ecommerce Development, Saas, Web & Mobile Application, Digital Marketing, Creative Design"
Wise Dynamic,20-09-889,Associate,October 2019,https://basis.org.bd/images/logo/5f7c73e739ffcWD LOGO-2.jpg,"Wise Dynamic is an IT-based service provider that has been established to empower young entrepreneurs and startups. It helps people to step into the world-wide-web platforms offering affordable solutions according to its clients’ requirements, background, market prospects, the scope of the business, and definitely budget. Besides, it has an expansion plan in the global market to earn foreign currencies.","House# 9/4, Lane# 01, Block# B, Section# 06",Mirpur,1216,01771444488,sim1sam.pvt@gmail.com,https://www.wisedynamic.com.bd,Proprietorship,,"Digital Marketing, Outsourcing, Reselling"
T3 Communications Limited,21-04-034,Associate,November 2019,https://basis.org.bd/images/logo/607e8e4dcaa12150X150.png,Digital Marketing & Information Technology Enabled Solutions,"3rd Floor, 2/2, Lalmatia, Block-A, Dhaka-1207",Mohammadpur,1207,01812620653,nhossain5@gmail.com,https://theturtlesturn.com/,Limited Company,,Digital Marketing
Bee Technology & Research Hub,21-06-001,Associate,October 2017,https://basis.org.bd/images/logo/944c05ca53ca4992718caa01a1d0a63707062023060912.jpg,"Bee Technology & Research Hub (BTRH), which is an IT company that began its business  operation as software, hardware, training and network solutions providing company in  November 2016. As in this global era when entrepreneurs are shifting online, the main purpose of this company is to offer them better & quality products-services that will enhance their business. The  company has been formed by a group of professionals having vivid experience and wide exposure to Information Technology and business operations. BTRH is focusing exclusively on high quality and cost-effective software development and implementation of services with hardware automation. BTRH’s vision is to provide the power of digitalization, enabling everyone to improve their  lives, build societies and secure a better future for all. Founded in 2016, it got a national award in 2017. Since then BTRH working with national &  international clients. The core area of the expertise of BTRH lies within & not limited to ICT consultancy, software  development, software development, network & infrastructure etc. BTRH is working for  clients’ satisfaction as it has dexterity in MySQL, Oracle, MS SQL Server, Mongo DB, Firebase, cloud, AWS, HTML5, Jquery, Ajax, Json, NodejS, AngularJS, WordPress, Drupal,  Joomla, Magento, Woo Commerce & OpenCart etc.Moreover we can assure graphics &  branding support, Digital marketing & much more. Since 2020, with the increase in the number of startups, BTRH is working relentlessly to  support them by offering distinguished services like digital marketing, social media marketing,  content creation, management of social media, startup development & back-office IT support. To empower talented people, BTRH offers professional courses, sessions & various trendy  courses by using this one can sit for vendor exam and could be recognized international market  or job places. BTRH has created an umbrella named Bee Forum where people dealing with problems  regarding career choice, entrepreneurship & research come together & the expert teams offer  practical solutions from the mentors. With the dedication from all concerned departments, BTRH is eyeing bigger success as the  world of business is shifting more online, the scope to serve is increasing and being a one-stop solution desk in IT.","Mirpur DOHS, Avenue 3, Road 12, Holding no 854, B2",Mohammadpur,1216,01711085680,onikhan45@gmail.com,http://www.beetechnologybd.com,Partnership,,Digital Marketing
