Company Name,Membership No,Membership Type,Establishment,Logo URL,Short Profile,Address,Area,Postcode,Phone,Email,Company Website,Legal Structure,Valid Till,Services
Link3 Technologies Limited,03-09-017,Affiliate,May 2000,https://basis.org.bd/images/logo/88416f37e13872f50043c7cf9e1b82af.jpg,"Link3 Technologies Ltd. is a full service IT Solution Provider that has been operating in Bangladesh market for over 21 years with a very high level of success, achieved through an uncompromised service quality and customer satisfaction. Link3's highly trained professionals can ensure a standard of service that remains unmatched by any other player in the market.","Police Plaza Concord, Tower – 01, 13th Floor, Plot # 2, Road # 144, Gulshan Model Town, Dhaka – 1212",Gulshan,1212,01787667607,fad@link3.net,https://www.link3.net/,Limited Company,2020-12-31,Web Hosting
Nreach-Net (Pvt.) Limited,23-05-040,Affiliate,August 2006,https://basis.org.bd/images/logo/352b9cad273ff494d93c28aceb10bdb804072023072044.jpg,"NREACH Net Pvt. Ltd. is the IT concern of Nitol Niloy Group. NREACH is a leading technology solution & service provider including security & surveillance, IT infrastructure & customized technology deployment consulting. NREACH has established in 2006 to provide leading edge of intelligent technical solutions & consulting services of IT solution to privet organizations and government.","71, Mohakhali C/A",Gulshan,1212,028833031,info@nreach.net.bd,http://www.nreach.net.bd,Limited Company,,Web Hosting
Beatnik Technology Limited,20-03-846,Associate,November 2018,https://basis.org.bd/images/logo/5eb9809a6b972Beatnik Technology.PNG,"Beatnik Technology, headquartered in Dhaka, Bangladesh, has been a prominent player in the technology sector since its establishment in 2017. Our core expertise lies in the seamless transition of manual processes to the digital realm. Renowned for our innovation, we specialize in creating captivating mobile apps, websites, UI/UX design, software development, content writing, product development, and e-commerce solutions.  Distinguished by a suite of proprietary products and an extensive enumerator network for field-level data collection, we have collaborated with numerous NGOs, contributing to impactful data gathering initiatives. Our service portfolio spans across a spectrum of offerings, including customized solutions in mobile app development, website development, AR-VR development, game development, and blockchain development.  At Beatnik Technology, our dedicated and skilled team is committed to engineering solutions that drive business growth. We prioritize timely and quality service delivery, ensuring that our clients receive unparalleled value from our offerings.","House 106, Level 4, Park Road, Mohakhali DOHS, Dhaka 1206",Gulshan,1206,01316100183,anayet@beatnikbd.com,https://www.beatniktechnology.com,Limited Company,2020-12-31,"Software Development, Web Hosting, UX/UI Design, Emerging Technology, Mobile App Development, Web Design & Development"
HostsCheap Limited,24-10-061,Associate,February 2023,https://basis.org.bd/images/logo/b0ccb3593af6b6b1e715d376129f005922102024102847.png,"HostsCheap is an IT solutions provider and web hosting company! We offer affordable IT support services worldwide, Professional Email Service, Virtualization solutions, shared hosting, virtual servers, dedicated servers, domain names, SSL certificates, Email Spam filters, VPN, and software licenses, among other things. Additionally, HostsCheap provides data center security and cybersecurity solutions for comprehensive website protection. Our offerings ensure businesses have the foundation they need to thrive online.","Panchamighat Bazar,Alipura Bazar,Sonargaon",Narayanganj,1440,+8801786778865,sales@hostscheap.com,https://www.hostscheap.com,Limited Company,,"Domain, Business Email, SSL, VPS, Web Hosting, Software License"
HOSTING4BD Ltd.,14-09-590,General,January 2011,https://basis.org.bd/images/logo/51902d9ddc23fc9c3d4db1c934717bea.png,"Hosting4bd Limited is a web development & software company based in the Bangladesh.  It is leading Web Solutions company specialized in Web Design and Development, software  development, Domain, Hosting, e-commerce solution and website maintenance.  HOSTING4BD gives Web Design and Development to all organizations as far and wide as possible. We are resolved to convey amazing administrations furnished with most recent procedures & outfitted with current business sector methods, centering completely on client prerequisites. We have skill in Web Design and Development, Graphic Designing, Online Marketing, Search Engine Optimization and E-Commerce Web Solutions.","House No# 20/1 (2nd Floor), 60 Feet Road, Opposite of Leguna Stand, Borobag, Mirpur-2, Dhaka-1216",Mirpur,1216,01711991936,info@hosting4bd.com,https://www.hosting4bd.com,Limited Company,2020-12-31,"Web Hosting, Domain Registration"
RD NETWORK BD,15-06-388,General,June 2014,https://basis.org.bd/images/logo/397620ebbaddccf053681416a9b953e318022022024139.png,"RD Network BD was established in 2014 in Dhaka, Bangladesh, as a forward-thinking IT company dedicated to transforming the digital landscape for our clients. We specialize in software development, website design and development, server and domain hosting, outsourcing, and IT training.  Our mission is to empower businesses by enhancing their online presence and helping them achieve their professional objectives through innovative web solutions. We prioritize delivering unique and creative IT solutions tailored to our clients’ specific needs.  At RD Network BD, we believe in optimizing business processes to ensure faster results and increased efficiency. Our Think-Build-Operate methodology guides our operations, enabling us to consult, build, and support our clients every step of the way. We are committed to being a trusted partner in your journey toward digital excellence.","270/ka, Flat: D8 (8th floor), West Agargaon, Sher-e-Bangla Nagar, Dhaka-1207",Mohammadpur,1207,01787-882277,contact@rdnetworkbd.com,https://rdnetworkbd.com,Proprietorship,2018-12-31,"Clipping Path, Web Development, Web Hosting"
AdroitSSD,20-09-1170,General,September 2016,https://basis.org.bd/images/logo/5f5ca9c001987adroitssd.jpg,"AdroitSSD is an online services business aimed at providing full automation of website hosting for clients, combining enterprise services, hosting, site creation, and marketing into one portfolio. Clients can choose from a variety of services or hire AdroitSSD to stand up a full package for an Internet presence development.","#566, 4th floor, Lakecity Concord Shopping Complex, Khilkhet, Dhaka",Bimanbandar,1229,01747485923,contact@adroitssd.com,http://www.adroitssd.com,Proprietorship,2020-12-31,"Web Design, Domain Registration, Cloud Hosting, Web Hosting, SMS Service"
Dtech Online Limited,21-04-027,General,January 2001,https://basis.org.bd/images/logo/60d97db2c2bdfDtech Logo 200x200px.jpg,"Dtech Online Limited is a renowned Internet Service Provider (ISP), formed in 2001 and has grown over the years into the thriving company it is now. Dtech is equipped with modern technology, connected more than thousands prestigious clients, providing support round the clock in Dhaka and its nearby locations. It has highly skilled and advanced team and linking technology to provide the best.","House-73 (3rd Floor), Road-13A, Block-D, Banani",Banani,1213,01715959805,info@dtechonline.net,https://www.dtechonline.net,Limited Company,,"Web Hosting, Google Workspace, Microsoft 365"
Maestro Solutions Ltd,21-09-044,General,September 2018,https://basis.org.bd/images/logo/6166b266b0487maestro logo final.png,Maestro is very Popular in ISP Industry for our IP LogServer and ISP Billing Solution,"Flat-6B, Alamin Apon Heights, 27/1/B Mirpur Road,",Mohammadpur,1207,01959454154,ahsan@maestro.com.bd,http://maestro.com.bd,Limited Company,,"Hosted maXim ISP Billing, SMS Gateway, Web Hosting"
Limda Host,21-12-002,General,June 2008,https://basis.org.bd/images/logo/165874460420087859ba38ab5ac5117d19122021124919.png,"We understand that hosting is about much more than site performance and uptime. Even while your hosting price may seem insignificant in comparison to the rest of your business expenses, your website is perhaps the most essential tool you have. Customers come to Limda Host because they trust us with their websites, not just because our technical support and management are personable, approachable, and empathetic, but also because our front line support has the technical experience to help with and understand difficult issues. Our expertise in the hosting market has taught us that automation is the key to efficiency. Limda Host has automated all of the operations that many hosting providers still undertake by hand behind the scenes. Our powerful software and automated processes handle everything from deploying new servers to tracking malware to dealing with denial of Service attacks. Because the great majority of our technical team is customer-facing, it means our team can spend more time supporting you, our clients. We are here with the mission of making web hosting and it’s services as easy as possible. We will be doing all the work for you so that you can sit and relax and have all your work done as neatly as you require. We have designed our packages from basic to advanced so that you can choose easily as per your budget and need. Our passionate team members are working very hard to make your work easier. Leave your hassled web hosting work to us and concentrate on your business. We launched CIT BD in 2008 with the goal of making information technology simple to understand and utilize for everyone. In 2015, we re-branded the company under the new name ""Limda Host,"" offering new products, a fresh new approach to support, and greater control for clients, in order to further our objective of empowering businesses to use the latest technologies. Our mission is simple: to mix creativity with cutting-edge technological research and development. We are a customer-focused firm that prioritizes gaining and maintaining the trust of each and every one of our clients. As a result, we listen to our clients, remain on top of the newest technological trends, and produce better web hosting products and services on a daily basis, allowing us to better realize this mission. Limda's objective is to provide trouble-free, customer-focused, reliable, and inexpensive web hosting services, to work hard every day because we love what we do with a passion, and to provide excellence in all levels of service to our clients. We simply want to keep running a lucrative web hosting company that delights its consumers. We've backed up our rock-solid hosting solutions and top-notch infrastructure with the greatest customer service and technical support from the beginning. A prevalent misconception about the technology profession is that it is all about machines. While this is true, Limda also understands that it needs good people to run a well-oiled machine. Yes, a successful company must be dedicated to client solutions, innovation, creativity, and a friendly, caring approach toward all of our clients' business requirements. We don't only offer support 24 hours a day, seven days a week. We genuinely listen and care about what you have to say.","168/5 Bornali, Green Road, Kalabagan, Dhaka-1205",New Market,1205,01977008854,hello@limda.net,https://www.limda.net,Proprietorship,,Web Hosting
